,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
362,Recurso,3AQP,,,,,,,,,,,,,,,,,,,425.04,362.12,337.92,370.04,346.28,348.92,2024-11-27
676,Recurso,3AQP,341.88,341.0,338.8,340.56,333.52,330.88,332.64,345.84,339.68,351.12,359.48,368.28,380.6,396.0,335.28,351.56,328.68,348.04,318.56,332.64,340.12,337.48,333.52,330.0,2024-11-28
984,Recurso,3AQP,319.0,321.64,322.08,341.88,322.52,268.84,0.44,631.84,638.88,521.4,475.2,450.12,430.32,421.96,421.96,387.64,393.36,417.12,501.6,302.28,436.04,344.52,367.84,344.52,2024-11-29
1283,Recurso,3AQP,323.84,341.44,323.84,315.48,321.2,319.88,329.12,318.12,337.48,352.88,374.44,363.44,363.44,350.68,352.88,341.44,338.36,340.56,347.6,355.08,330.88,331.32,326.48,225.72,2024-11-30
1589,Recurso,3AQP,188.76,344.52,352.88,352.44,289.96,350.24,309.32,317.24,315.04,326.04,342.32,348.48,352.44,348.48,335.28,322.08,330.88,331.32,313.28,314.6,314.6,316.36,310.64,308.0,2024-12-01
1901,Recurso,3AQP,311.08,315.92,317.24,315.48,309.32,224.4,327.36,344.52,229.68,391.16,315.48,355.52,280.28,350.68,363.0,319.88,315.48,310.2,302.72,341.88,290.84,279.84,301.4,307.12,2024-12-02
2205,Recurso,3AQP,306.68,299.64,287.76,286.88,284.68,297.88,290.84,287.76,295.68,310.2,289.52,223.96,382.8,380.6,312.4,299.2,311.52,296.56,326.48,269.72,286.0,289.96,293.04,297.0,2024-12-03
2502,Recurso,3AQP,296.56,296.56,298.32,301.84,303.16,331.32,417.12,243.32,344.52,295.68,340.56,376.64,284.68,354.64,288.64,323.4,272.8,302.28,294.8,285.12,303.16,278.96,306.24,273.24,2024-12-04
2803,Recurso,3AQP,282.48,282.04,273.68,270.16,262.68,279.84,289.96,340.12,392.48,475.64,313.28,356.4,393.36,325.6,301.4,323.4,334.84,333.52,400.4,404.8,403.92,308.44,301.4,312.4,2024-12-05
3100,Recurso,3AQP,274.56,276.76,253.0,265.32,271.48,253.0,243.76,270.6,260.04,266.2,268.84,276.76,274.56,253.44,265.76,263.56,245.08,237.6,245.08,253.88,248.16,241.56,252.56,244.64,2024-12-06
3398,Recurso,3AQP,241.56,228.36,247.72,232.32,235.84,270.16,243.76,253.0,242.88,231.88,109.12,254.76,246.84,307.56,321.2,267.08,319.0,310.64,278.52,288.2,271.92,260.48,260.92,262.68,2024-12-07
3694,Recurso,3AQP,263.56,274.56,310.64,245.52,272.36,259.6,261.36,264.0,257.84,319.88,323.84,333.08,328.24,320.76,308.44,313.72,319.0,315.92,289.08,297.44,304.92,313.28,315.92,292.16,2024-12-08
3999,Recurso,3AQP,297.0,296.12,285.56,288.64,292.16,276.32,280.28,295.68,286.0,225.72,322.96,312.84,315.92,317.68,314.16,300.96,281.6,272.36,328.68,302.72,243.76,317.24,315.92,275.44,2024-12-09
4306,Recurso,3AQP,278.08,282.04,291.28,270.16,238.04,284.24,254.32,281.6,239.36,274.12,343.2,291.72,294.36,319.44,288.2,296.56,282.92,278.96,275.0,278.52,275.0,276.76,284.24,283.8,2024-12-10
4615,Recurso,3AQP,284.24,272.36,253.88,254.76,263.12,279.84,273.24,268.4,268.4,260.92,289.52,328.68,289.96,315.04,272.36,251.68,323.4,252.12,259.6,275.88,286.0,312.4,291.28,273.24,2024-12-11
4928,Recurso,3AQP,281.16,281.16,281.6,283.8,288.64,302.28,92.4,383.68,381.04,286.88,231.0,345.84,405.24,298.76,328.68,346.28,302.28,279.84,309.32,269.72,298.76,304.48,296.12,285.56,2024-12-12
5242,Recurso,3AQP,288.2,276.76,265.32,267.52,274.12,299.2,261.8,277.2,272.36,269.72,320.32,316.36,306.24,313.28,313.72,271.04,270.16,297.0,273.68,251.68,281.6,253.0,273.24,297.44,2024-12-13
5554,Recurso,3AQP,293.48,59.84,,224.84,347.16,253.44,262.68,266.2,267.96,271.04,278.08,278.96,288.2,331.32,362.56,346.72,289.08,295.68,293.48,279.4,275.44,287.76,287.32,269.72,2024-12-14
5871,Recurso,3AQP,268.84,289.08,291.28,282.04,251.68,251.24,288.64,266.64,274.12,282.48,284.68,286.0,293.92,302.72,317.24,280.72,270.16,291.72,278.52,265.32,269.72,264.0,267.96,246.84,2024-12-15
6185,Recurso,3AQP,247.28,255.2,278.52,278.08,284.24,362.12,462.0,616.44,322.96,648.56,781.88,607.64,542.08,511.72,458.04,456.72,435.16,356.84,348.92,382.8,354.2,362.56,339.68,343.64,2024-12-16
6501,Recurso,3AQP,329.12,320.76,317.68,318.56,312.84,304.48,313.72,314.16,316.8,337.92,352.0,329.12,349.8,326.04,318.56,326.92,326.48,328.24,302.28,313.72,302.28,305.36,312.4,313.72,2024-12-17
6817,Recurso,3AQP,291.72,282.04,277.64,246.4,268.4,297.0,295.68,283.36,282.92,289.52,325.16,333.08,302.72,329.12,321.2,298.76,299.64,302.28,310.64,277.2,283.8,293.04,263.56,274.12,2024-12-18
